,Company_Name,Industry,Department,Location,Skills,ClusterLabel
692,ernst   young,bank financial service,operations management process analysis,bangalore,supply chain management identify new opportunities client relationship management business process reengineering role model supply chain cost reduction network design service quality statements of work sow,OperationalMgmtSW
694,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,finance sales ltd mis accountancy test data test case data security test strategy project team test execution security tool test management user acceptance statements of work sow identity access management,OperationalMgmtSW
697,ernst   young,bank financial service,operations management process analysis,bangalore,asset management vendor management coach site sla environmental impact assessment power bi it hardware data quality advance excel risk reduction risk mitigation language skills english language,OperationalMgmtSW
708,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank data quality high pressure financial data financial products data reconciliation interpersonal skills compatibility test manual abacus check finance capital,OperationalMgmtSW
712,alankit assignments limited,bank financial service,sales bd,imphal,delivery less adoption dashboard train project management customer relations report team management line management capacity build program implementation hindi java english welfare it effective team management quality report team cohesion,OperationalMgmtSW
728,ernst   young,bank financial service,operations management process analysis,ahmedabad,sales business process management enterprise risk management internal audit customer relations sap risk assurance risk management sql risk advisory problem solve delivery code of conduct statements of work sow,OperationalMgmtSW
756,fidelity investments,bank financial service,data entry,bangalore,big data analytics big data data mine data science semantic web data analysis deep learn data analytics business units graph databases computer science machine learn web applications,OperationalMgmtSW
764,jpmorgan,bank financial service,sales bd,bangalore,sales customer relations sla quality coach root cause analysis back office operations strong communication skills root cause back office front office global team middle office problem solve time management,OperationalMgmtSW
765,jpmorgan,bank financial service,sales bd,bangalore,sql data analysis microsoft excel customer relations report item response theory effective communication skills front office train need quality control time management,OperationalMgmtSW
766,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,deliver on time web service mobile devices web development problem solve web application wealth management software project project management,OperationalMgmtSW
769,jpmorgan,bank financial service,risk underwrite,bangalore,due diligence kyc aml bank risk lotus note music make middle office search engines data collection client profile customer service microsoft office,OperationalMgmtSW
773,fidelity investments,bank financial service,r d product design,bangalore,machine learn analytics sql algorithms oracle dba big data analytics big data data mine data science semantic web data analysis deep learn data analytics business units,OperationalMgmtSW
774,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,high quality standards data model middle office risk management problem solve risk governance wealth management statements of work sow,OperationalMgmtSW
775,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,web service music make risk management design pattern version control test automation computer science build automation spend management,OperationalMgmtSW
776,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,fix income unit test client server qa automation legacy systems gui development trade process wealth management agile development techno functional investment bank financial service,OperationalMgmtSW
778,morgan stanley advantage services pvt  ltd ,bank financial service,sales bd,bangalore  japan,strong communication skills data center command center large program wealth management techno functional investment bank oncall support financial service,OperationalMgmtSW
779,fidelity investments,bank financial service,general other software,bangalore,sap sla customer relations quality report customer service communication skills write communication financial transactions client service,OperationalMgmtSW
782,jpmorgan,bank financial service,general other software,bangalore,data standards problem solve report tool user acceptance client onboarding data reconciliation write communication regulatory requirements,OperationalMgmtSW
787,jpmorgan,bank financial service,operations management process analysis,bangalore,due diligence kyc aml bank risk train need time management customer service service standards financial service affirmative action communication skills relationship build,OperationalMgmtSW
791,northern trust,bank financial service,general other software,bangalore,it development fund account problem solve risk mitigation business analysis corporate action project management financial service production support change initiatives,OperationalMgmtSW
792,jpmorgan,bank financial service,finance account tax,bangalore,environmental impact assessment front office drive result risk mitigation operate model wealth management project management process efficiency,OperationalMgmtSW
793,jpmorgan,bank financial service,operations management process analysis,bangalore,delivery forecast schedule workflow analysis operations subject matter experts ms visio ms office user group gap analysis user support project plan loan operations user acceptance business analysis project management,OperationalMgmtSW
797,state street corporation,bank financial service,general other software,bangalore,subject matter expertise charter financial analyst environmental impact assessment data quality internal audit data analytics business units risk management risk assessment control test statements of work sow,OperationalMgmtSW
798,jpmorgan,bank financial service,internet market,bangalore,content management system ms office time management market agency web applications digital market quality assurance management skills management system content management brand identity market,OperationalMgmtSW
800,nasdaq,bank financial service,sales bd,bangalore,customer service customer relations sales quality report data center market data computer science application support information systems technical operations realtime monitor,OperationalMgmtSW
807,ernst   young,bank financial service,operations management process analysis,bangalore,sales mis account tat bank ms office clear vision service line legal research quality control team management global delivery growth strategy project metrics capital market statements of work sow,OperationalMgmtSW
810,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,handle multiple project b2b sales data loader web service data map visual studio data management user experience data integration approval process quality assurance sales market net framework,OperationalMgmtSW
811,morgan stanley advantage services pvt  ltd ,bank financial service,statistics analytics,bangalore,customer relations documentation requirements functional business requirements deliver on time strong analytical skills investment advisory service ms office,OperationalMgmtSW
818,jpmorgan,bank financial service,operations management process analysis,bangalore,data entry data management research data collection program people management skills new age time management global strategy microsoft office account service statements of work sow,OperationalMgmtSW
820,standard chartered bank ltd,bank financial service,statistics analytics,bangalore,customer relations documentation requirements functional business requirements user acceptance test data flow user stories due diligence project team user acceptance issue resolution business analysis agile methodology,OperationalMgmtSW
824,jpmorgan,bank financial service,general other software,bangalore,data entry data management research data collection program people management skills new age time management global strategy microsoft office account service statements of work sow,OperationalMgmtSW
830,northern trust,bank financial service,risk underwrite,bangalore,it risk management security incident response management information systems it risk it audit peer review security risk cyber security statements of work sow,OperationalMgmtSW
831,jpmorgan,bank financial service,sbu head ceo director,bangalore,project management automation cost control delivery ltd ms office package ms office role model office package asset service human resources business write,OperationalMgmtSW
837,jpmorgan,bank financial service,general other software,bangalore,trade desk strong communication skills general ledger service delivery investment advisory service loan operations agency service problem solve bank products,OperationalMgmtSW
845,jpmorgan,bank financial service,operations management process analysis,bangalore,data privacy drive change data analytics small business control design risk consult microsoft office operational risk privacy policies business control internal control investment bank financial service,OperationalMgmtSW
851,northern trust,bank financial service,statistics analytics,bangalore,supply chain management supply chain business units share service problem solve microsoft office special project demand management project management financial analysis,OperationalMgmtSW
852,investcode private limited,bank financial service,general other software,bangalore,access management change management delivery incident management big data core data data science data solutions think skills data engineer work experience communication skills verbal communication technical proficiency professional liability it ml sql aws cerner,OperationalMgmtSW
860,ernst   young,bank financial service,statistics analytics,bangalore,customer relations report basis account research effective communication skills power bi memory test data analysis time management senior management analytical skills business insights statements of work sow,OperationalMgmtSW
862,jpmorgan,bank financial service,general other software,bangalore,test case data quality test script data management problem solve impact analysis data integration critical think background check performance tune,OperationalMgmtSW
863,jpmorgan,bank financial service,operations management process analysis,bangalore,subject matter expertise people management skills standard operate procedures life cycle key metrics middle office trade support risk management asset service microsoft office trade process people management,OperationalMgmtSW
864,jpmorgan,bank financial service,general other software,bangalore,balance sheet middle office general ledger problem solve business process influence others change management operate systems financial analysis financial account write communication compatibility test,OperationalMgmtSW
868,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,sales management mis customer relations quality social media model design data analytics risk analytics lead management business strategy model development brand identity market pl forecast,OperationalMgmtSW
872,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,sales management mis customer relations quality risk management tool risk management wealth management management systems performance review bcp sla tat risk turn brand visit wealth rollout train,OperationalMgmtSW
873,standard chartered bank ltd,bank financial service,bio tech r d scientist,bangalore,machine learn python data analysis sql analytics master data management business intelligence tool power bi master data data science music make data standards data management problem solve,OperationalMgmtSW
874,northern trust,bank financial service,operations management process analysis,bangalore,root cause audit report business units fund account operational risk project management financial service collaborative work fund administration control environment operational control,OperationalMgmtSW
881,goldman sachs,bank financial service,general other software,bangalore,reference data data integrity risk management asset management microsoft office client management global investment investment bank process enhancement management service analyze information,OperationalMgmtSW
882,goldman sachs,bank financial service,general other software,bangalore,research development quantitative investment strategies lead change pension fund risk management problem solve asset management wealth management global investment,OperationalMgmtSW
883,goldman sachs,bank financial service,general other software,bangalore,center of excellence data quality due diligence risk management problem solve asset management microsoft office external clients analytical skills,OperationalMgmtSW
885,goldman sachs,bank financial service,finance account tax,bangalore,tax report risk management service delivery asset management global investment investment bank management service investment management client service,OperationalMgmtSW
897,standard chartered bank ltd,bank financial service,general other software,bangalore,test plan test strategy virtual team test management microsoft office operational risk people management project assurance program management system development presentation skills,OperationalMgmtSW
898,jpmorgan,bank financial service,operations management process analysis,bangalore,sales market business development target customer relations ms office tool ms office risk control time management project management oral communication business management statements of work sow,OperationalMgmtSW
900,ernst   young,bank financial service,general operations management,bangalore,delivery ms office office skills service line program management trust business advisor agile ms project project management project team management,OperationalMgmtSW
902,ernst   young,bank financial service,audit,bangalore,client relationship management ms office standard operate procedure service line data analysis ms office suite sox 404 fortune 500 statements of work sow,OperationalMgmtSW
903,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank strong communication skills music make high pressure drive result fee schedule client bill business units trust service data collection,OperationalMgmtSW
904,state street corporation,bank financial service,operations management process analysis,bangalore,sales mis account tat bank music make high pressure client bill problem solve bill process microsoft office project management financial service client satisfaction statements of work sow,OperationalMgmtSW
906,jpmorgan,bank financial service,general other software,bangalore,advertise insurance national portals studio application program interfaces data model ui development reference data graphic design risk management data management team development business analysis financial control,OperationalMgmtSW
907,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,set operational risk financial service special project risk management servant leadership regulatory compliance application service sql risk register project management sla plsql business process risk,OperationalMgmtSW
908,standard chartered bank ltd,bank financial service,statistics analytics,bangalore  mumbai city  delhi,customer relations documentation requirements functional business requirements user stories design think business analysis analytical skills agile methodology customer journey communication skills product requirements,OperationalMgmtSW
909,state street corporation,bank financial service,statistics analytics,bangalore,sql data analysis microsoft excel customer relations report source system analysis power bi front end data privacy data model reference data data profile data wrangle data management data extraction,OperationalMgmtSW
910,northern trust,bank financial service,statistics analytics,bangalore,global asset management strong analytical skills ms office power user data mine music make data analysis cash management data validation,OperationalMgmtSW
911,jpmorgan,bank financial service,operations management process analysis,bangalore,strong analytical skills data quality data analysis risk analysis account open data governance operational risk account service query management analytical skills financial service process improvement,OperationalMgmtSW
912,northern trust,bank financial service,operations management process analysis,bangalore,adobe creative suite web content management global asset management ms office web content adobe acrobat graphic design cash management time management asset management management skills,OperationalMgmtSW
913,northern trust,bank financial service,operations management process analysis,bangalore,strong analytical skills global asset management ms office sales factor analysis market risk analysis cash management 3rd party relationships mutual fund asset management target customer relations research,OperationalMgmtSW
921,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,subject matter experts data quality subject matter expertise technology risk report bcp risk annual review kpi root cause risk management user acceptance test operational risk cyber security type user acceptance,OperationalMgmtSW
923,aquarius management,bank financial service,sales bd,ahmedabad,sales brand human resource management resource management management business management international travel business development conflict management customer acquisition leadership development drive communication skills client service fortune 500 bill border control market client representation team management identity,OperationalMgmtSW
924,jpmorgan,bank financial service,operations management process analysis,bangalore  chennai  hyderabad  kolkata  pune  mumbai city  delhi  ahmedabad,data analysis strong interpersonal skills subject matter expertise data mine ms access client money fund account fix income strong analytical skills software development life cycle middle office balance sheet,OperationalMgmtSW
939,pricewaterhousecoopers  pwc ,bank financial service,general other software,bangalore,business case client solutions it strategy sap hana service design business case development internet of things use case client engagement vendor evaluation risk management service strategy cost benefit analysis,OperationalMgmtSW
942,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,front end visual design data service web development problem solve capital market client report technical skills wealth management investment bank release management mobile applications,OperationalMgmtSW
943,standard chartered bank ltd,bank financial service,sales bd,bangalore,scrum agile product management market delivery use case scrum master new business user stories inhouse sales user adoption salesforce crm data management sales automation statements of work sow,OperationalMgmtSW
944,standard chartered bank ltd,bank financial service,market communication,bangalore,functional design data science data exchange agile user stories scrum social media scrum master market product management delivery data collection data management retail analytics digital market pay media agile environment,OperationalMgmtSW
945,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,proof of concept red team test tool problem solve time management patch management quality assurance critical think financial service social engineer penetration test business management,OperationalMgmtSW
947,pricewaterhousecoopers  pwc ,bank financial service,operations management process analysis,bangalore,code of ethics new business development new business excel model life sciences project team internal audit process design cost effective risk management process quality rd operations,OperationalMgmtSW
948,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,scrum agile product management market delivery user stories retail bank operational risk financial service performance review product development communication skills product requirements data synchronization,OperationalMgmtSW
949,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,natural language process business activity monitor big data data science data quality data analysis data model risk analytics data integrity financial risk portfolio risk data structure risk assessment technology risk,OperationalMgmtSW
950,pricewaterhousecoopers  pwc ,bank financial service,operations management process analysis,bangalore,code of ethics strong business acumen operational due diligence back office front office cost save data analysis data model due diligence business case high pressure cost effective risk management,OperationalMgmtSW
952,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,natural language process big data data science data quality data analysis deep learn data integrity network security machine learn natural language data engineer wealth management,OperationalMgmtSW
954,pricewaterhousecoopers  pwc ,bank financial service,management consult strategy,bangalore,cash flow report financial close process cash flow gap analysis business case close process cost reduction cost effective cash management process quality global delivery work capital service delivery,OperationalMgmtSW
956,morgan stanley advantage services pvt  ltd ,bank financial service,statistics analytics,bangalore,data analysis project management communication skills relationship build report data analysis data model,OperationalMgmtSW
959,jpmorgan,bank financial service,general other software,bangalore,total cost of ownership test drive development unit test data quality data privacy data governance analytical skills database management message platforms market automation relational databases,OperationalMgmtSW
964,morgan stanley advantage services pvt  ltd ,bank financial service,sales bd,bangalore  japan,fix income problem solve profile tool capital market computer science wealth management techno functional investment bank financial service data representation,OperationalMgmtSW
967,dbs asia hub 2,bank financial service,sbu head ceo director,bangalore  chennai  hyderabad  gurugram  mumbai city  delhi,project management agile program management management delivery open source scrum master core bank gap analysis future trend data management,OperationalMgmtSW
971,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,hedge fund fix income risk management problem solve computer science statistical analysis program languages it c arm java risk sales python design,OperationalMgmtSW
983,pricewaterhousecoopers  pwc ,bank financial service,technical support helpdesk,bangalore,strategy coach xml cost effective continuous improvement report custom report global delivery matrix service delivery process quality manage client expectations birt organization skills design project team,OperationalMgmtSW
984,pricewaterhousecoopers  pwc ,bank financial service,finance account tax,bangalore,work effectively business development business process internal control global delivery service delivery user administration general control process quality workflow management problem management,OperationalMgmtSW
996,pricewaterhousecoopers  pwc ,bank financial service,operations management process analysis,bangalore,new business medical devices new business development problem solve cost effective process quality service delivery model design risk management project team supplier risk management excel model cost reduction global delivery,OperationalMgmtSW
997,pricewaterhousecoopers  pwc ,bank financial service,dba datawarehousing,bangalore,process quality sas position management it data mine python business development service delivery spss financial management r big data data visualization risk hadoop cost effective global delivery acl,OperationalMgmtSW
999,pricewaterhousecoopers  pwc ,bank financial service,general other software,bangalore,cost save due diligence data analysis new business development back office new business strong business acumen data model front office operational due diligence,OperationalMgmtSW
1002,pricewaterhousecoopers  pwc ,bank financial service,finance account tax,bangalore,microsoft office cost effective service delivery project management it control anti money launder process quality music make global delivery internal audit financial service work effectively,OperationalMgmtSW
1006,pricewaterhousecoopers  pwc ,bank financial service,sales bd,bangalore,xml birt service delivery process quality hcm workday global delivery cost effective design business development financial management custom report implementation experience cloud research matrix,OperationalMgmtSW
1022,standard chartered bank ltd,bank financial service,dba datawarehousing,bangalore,root cause analysis data science stream process aws root cause data engineer environment big data data architecture linux mysql level design music make low level design troubleshoot data structure cloud compute,OperationalMgmtSW
1023,morgan stanley advantage services pvt  ltd ,bank financial service,sbu head ceo director,bangalore  japan,it strategy data analytics project management cost control test automation source to pay database design ltd account payable delivery business intelligence tool automation shell script,OperationalMgmtSW
1025,bnp paribas,bank financial service,finance account tax,bangalore,back office front office fix income middle office daily report capital market retail bank risk management global delivery prime brokerage asset management operational risk wealth management market operations,OperationalMgmtSW
1029,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore  japan,project management automation cost control investment advisory service build tool unit test rule engines web development data structure cash management,OperationalMgmtSW
1034,dbs asia hub 2,bank financial service,finance account tax,bangalore  chennai  mumbai city  delhi,work capital finance cash management service account relationship management trade finance early warn risk management statements of work sow,OperationalMgmtSW
1037,pricewaterhousecoopers  pwc ,bank financial service,sales bd,bangalore,code of ethics business process integration back office front office data model due diligence high pressure cost effective process quality statements of work sow,OperationalMgmtSW
1038,northern trust,bank financial service,statistics analytics,bangalore,customer relations report basis account research risk analysis quality check financial data credit analysis analysis report special project financial analysis financial service collaborative work communication skills,OperationalMgmtSW
1039,jpmorgan,bank financial service,general other software,bangalore,think skills computer science machine learn senior management management skills critical think project management advance analytics oral communication operations research communication skills,OperationalMgmtSW
1040,pricewaterhousecoopers  pwc ,bank financial service,general other software,bangalore,content management customer relations presentation skills record keep ms office amazon web service spring mvc spring boot web service user stories cost effective process quality global delivery,OperationalMgmtSW
1045,standard chartered bank ltd,bank financial service,test,bangalore,risk management operational risk write communication line management stress test prudential regulation enterprise risk quantitative analysis balance sheet data quality stress test,OperationalMgmtSW
1046,northern trust,bank financial service,finance account tax,bangalore,balance sheet advance excel data analytics risk analytics stress test model build risk management model validation risk measurement linear regression model development commercial model regression model financial service,OperationalMgmtSW
1047,standard chartered bank ltd,bank financial service,risk underwrite,bangalore,test execution stress test risk management stress test model validation credit risk line management risk management framework enterprise risk management financial market financial service operational risk,OperationalMgmtSW
1048,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,test execution stress test enterprise risk risk management stress test model validation credit risk private bank line management risk management framework enterprise risk management operational risk,OperationalMgmtSW
1050,jpmorgan,bank financial service,sales bd,bangalore,market sales business development management finance time management plan skills data warehouse change management project management financial service commercial lend crossfunctional initiatives,OperationalMgmtSW
1051,first american  india ,bank financial service,architecture,bangalore,report fortune 500 back office cloud foundry master data management environmental impact assessment api enterprise portfolio management data security master data sap java visual studio ibm,OperationalMgmtSW
1061,goldman sachs,bank financial service,operations management process analysis,bangalore,static data due diligence risk management account open market operations global investment investment bank electronic trade client relationship issue identification investment management client account client onboarding,OperationalMgmtSW
1066,standard chartered bank ltd,bank financial service,general operations management,bangalore,people management skills enterprise risk management business continuity plan risk analytics risk management enterprise risk operational risk monitor tool report design change management senior management,OperationalMgmtSW
1082,pricewaterhousecoopers  pwc ,bank financial service,operations management process analysis,bangalore,customer relations data management analytical skills drive change big data unix shell script quality insurance sales data migration level design shell script code of ethics flat file,OperationalMgmtSW
1085,tresvista financial services pvt ltd,bank financial service,general other software,bangalore  mumbai city,business plan development ms office data analysis microsoft excel time management microsoft office online databases office operations talent acquisition fund administration communication skills portfolio management write communication telephone interview administration management word excel test portals join,OperationalMgmtSW
1086,tresvista financial services pvt ltd,bank financial service,general other software,bangalore  mumbai city,hardware network network sql music make management systems operate systems java portfolio management mobile email system monitor windows server troubleshoot communication skills system management train program customer relations computer hardware microsoft office oral communication windows 10,OperationalMgmtSW
1091,pricewaterhousecoopers  pwc ,bank financial service,general other software,bangalore,record keep code of ethics web service ms office record to report presentation skills oracle fusion customer relations content management cost effective nt,OperationalMgmtSW
1092,morgan stanley advantage services pvt  ltd ,bank financial service,sbu head ceo director,bangalore,project management automation cost control delivery object orient design web service development business process management business intelligence report java ee core java front end fix income apache spark,OperationalMgmtSW
1093,tresvista financial services pvt ltd,bank financial service,general other software,bangalore  mumbai city,analytical skills vendors administration management portfolio management databases supply chain fund administration rebuild purchase order approvals software vendor product quality interpersonal skills supply communication skills business plan development business portfolio management,OperationalMgmtSW
1096,tresvista financial services pvt ltd,bank financial service,sales bd,bangalore  mumbai city,word erp system ms office tool write communication tax microsoft office portfolio management win others over time management erp fund administration hotel administration management international travel data analysis ms office excel tax management visa business plan development,OperationalMgmtSW
1097,tresvista financial services pvt ltd,bank financial service,general other software,bangalore  mumbai city,it infrastructure corporate law equipment supply customer relations iso 27001 focal point investment bank mis risk compliance quality insurance internal audit contract management sales time management management skills environmental impact assessment speak english it compliance risk management,OperationalMgmtSW
1098,tresvista financial services pvt ltd,bank financial service,sales bd,bangalore  mumbai city,human resources performance appraisal process quality time management team management customer relations hire practice mis excel model insurance problem solve train program sales data analysis ms office ms office tool critical think hr operations senior management market analysis,OperationalMgmtSW
1099,tresvista financial services pvt ltd,bank financial service,sales bd,bangalore  mumbai city,ms office service level team management service quality service delivery operational risk support service change management business delivery project management financial service performance review fund administration portfolio management interpersonal skills continuous improvement operational efficiency performance improvement it risk,OperationalMgmtSW
1101,pricewaterhousecoopers  pwc ,bank financial service,general other software,bangalore,code of ethics code review strong analytical skills content management presentation skills record keep flat file customer relations big data ms office,OperationalMgmtSW
1108,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,object orient design risk control new business cloud compute wealth management secure finance investment bank financial service resource management clear operations,OperationalMgmtSW
1109,first american  india ,bank financial service,finance account tax,bangalore,data analysis business unit management market fortune 500 business development mis report management multiple sit estate agents problem solve target sales back office,OperationalMgmtSW
1120,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,japan  mumbai city,source system analysis sql server data science operate model senior management wealth management investment bank financial service strategy execution resource management platform management,OperationalMgmtSW
1124,pride technologies consulting india pvt ltd,bank financial service,general other software,bangalore,fix income derivatives it security static data music make process review market operations service standards management report it go kpi risk excel fraud basic swift nostro finance bank payroll,OperationalMgmtSW
1125,standard chartered bank ltd,bank financial service,statistics analytics,bangalore,customer relations documentation requirements functional business requirements data analysis design review data management business analysis corporate liaison pii turn brand visit design fdc,OperationalMgmtSW
1131,standard chartered bank ltd,bank financial service,general other software,bangalore,product development delivery drive linux sql information right management project team cloud security equipment supply right management business solution financial service security operations,OperationalMgmtSW
1132,ig infotech,bank financial service,site engineer project management,bangalore,delivery project plan project management spread bet customer relations report agile development senior management java statements of work sow,OperationalMgmtSW
1135,morgan stanley advantage services pvt  ltd ,bank financial service,statistics analytics,bangalore,data model data analysis due diligence middle office data analytics business rule data profile risk management data management risk governance technology risk informatica etl developers,OperationalMgmtSW
1137,goldman sachs,bank financial service,operations management process analysis,bangalore,static data due diligence risk management account open client account asset management external clients work effectively quality assurance client onboarding market operations global investment,OperationalMgmtSW
1144,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,back office web service cloud test ui automation test analysis global delivery test automation automation tool wealth management agile methodology,OperationalMgmtSW
1145,pricewaterhousecoopers  pwc ,bank financial service,finance account tax,bangalore,statutory audit data analysis company act sales cost benefit code of ethics fix asset account mis financial risk cost benefit analysis balance sheet google suite ms office share service customer relations quality insurance,OperationalMgmtSW
1150,standard chartered bank ltd,bank financial service,sales bd,bangalore,credit risk stress test risk management user acceptance computer science model validation business strategy model development regulatory capital verbal communication financial engineer personal responsibility regulatory requirements,OperationalMgmtSW
1152,pricewaterhousecoopers  pwc ,bank financial service,operations management process analysis,bangalore,code of ethics strong business acumen new business development power bi visual basic new business case study data analysis data model due diligence project team customer focus cost effective capital iq,OperationalMgmtSW
1156,goldman sachs,bank financial service,finance account tax,bangalore,open mind web development problem solve design pattern computer science asset management wealth management analytical skills global investment,OperationalMgmtSW
1158,pricewaterhousecoopers  pwc ,bank financial service,erp crm,bangalore,content management customer relations presentation skills record keep ms office sap materials management supplier relationship management,OperationalMgmtSW
1164,ernst   young,bank financial service,general other software,kochi,root cause analysis root cause data science music make data analytics service design cloud security key management client service computer science,OperationalMgmtSW
1165,ernst   young,bank financial service,general other software,kochi,data analysis market research data collection due diligence problem solve business write cash flow work capital secondary market statements of work sow,OperationalMgmtSW
1179,ernst   young,bank financial service,general other software,kochi,customer relations insurance quality sales mis business development program power bi data management brand awareness time management content management statements of work sow,OperationalMgmtSW
1181,ernst   young,bank financial service,operations management process analysis,kochi,business process management effective communication skills pivot table data analysis data cleanse time management business process senior management analytical skills statements of work sow report analysis,OperationalMgmtSW
1184,ernst   young,bank financial service,operations management process analysis,kochi,powerpoint documentation customer relations quality delivery ms office problem solve visual identity file management service delivery adobe illustrator statements of work sow brand identity market,OperationalMgmtSW
1186,ernst   young,bank financial service,general other software,kochi,root cause analysis root cause data science music make data analytics service design cloud security key management client service computer science automation tool,OperationalMgmtSW
1206,jpmorgan,bank financial service,statistics analytics,bangalore,risk review it operations leadership skills project management incident management information security regulatory compliance business requirements vulnerability management,OperationalMgmtSW
1209,first american  india ,bank financial service,operations management process analysis,bangalore,sap customer relations delivery sales sql hyperion financial management financial systems implementation vb script life cycle back office fortune 500 business rule system support title insurance issue resolution,OperationalMgmtSW
1210,jpmorgan,bank financial service,operations management process analysis,bangalore,it control project management ltd external clients isae 3402 automation root cause analysis technology risk subject matter expertise root cause it consult issue management delivery cost control,OperationalMgmtSW
1212,nasdaq,bank financial service,it operations edp mis,bangalore,customer service customer relations sales quality report data center market data computer science application support information systems technical operations,OperationalMgmtSW
1216,dbs asia hub 2,bank financial service,finance account tax,bangalore  chennai  hyderabad  gurugram  mumbai city  delhi,operational risk management root cause personal loan risk management risk governance unit operations process write operational risk consumer bank approval process,OperationalMgmtSW
1223,standard chartered bank ltd,bank financial service,statistics analytics,bangalore,mis accountancy credit risk risk analytics stress test risk management user acceptance service delivery model validation cod standards senior management business strategy model development,OperationalMgmtSW
1226,standard chartered bank ltd,bank financial service,operations management process analysis,bangalore,sales management mis customer relations quality credit risk risk analytics stress test risk management user acceptance model validation data preparation cod standards business strategy,OperationalMgmtSW
1228,riverforest connections private limited,bank financial service,sales bd,bangalore,bank customer relations market securities accountancy cost effective operational risk financial market reputational risk escalation process it set cash risk reach calypso run train security coach,OperationalMgmtSW
1234,statestreet global advisor pvt ltd,bank financial service,sales bd,bangalore,supplier audit business applications data acquisition finance market intelligence interpersonal skills music make metrics inventory management management systems set market data vendors vendor management performance metrics contract management vendor business units risk factset,OperationalMgmtSW
1235,standard chartered bank ltd,bank financial service,sales bd,bangalore,senior management ms office suite private bank terrorist finance crime prevention due diligence new business business requirements ms office financial market personal responsibility operational risk,OperationalMgmtSW
1236,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore  japan,pega pega prpc sql ui prpc business process management business intelligence report fix income global team event drive reference data business rule data management data structure,OperationalMgmtSW
1238,standard chartered bank ltd,bank financial service,sales bd,bangalore  hyderabad  mumbai city  delhi,customer relations documentation requirements functional business requirements use case cyber security enterprise risk risk frameworks business operations technology service information security alternative solutions,OperationalMgmtSW
1246,nasdaq,bank financial service,general other software,bangalore,customer service customer relations sales quality report data process automation tool batch process lateral think change management operate systems system monitor,OperationalMgmtSW
1248,stars management hiring for stars management,bank financial service,sales bd,bangalore,operations run word ideal client service presentation skills report finance market customer service plan strategic plan strategy data entry sales excel train management,OperationalMgmtSW
