,Company_Name,Industry,Department,Location,Skills,ClusterLabel
970,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,java sql javascript sql server jquery web service j2ee career development affirmative action api j2ee risk cloud agile spring jenkins capital strategy database benefit hibernate api management application developer,TestAutomation
972,first american  india ,bank financial service,general other software,bangalore,java fortune 500 sql query sql jquery data profile sql server javascript ms sql data collection back office sql server 2012 software service business systems title insurance computer science microsoft sql server,TestAutomation
1014,neva ventures,bank financial service,general other software,bangalore,test case regression test inspection quality automation agile test test process customer service automation test product development qa ui cd sql less agile mobile appium manual test,TestAutomation
1021,jpmorgan,bank financial service,web mobile technologies,bangalore,java sql javascript sql server jquery software development life cycle use case spring boot design pattern platform design account service software engineer affirmative action creative solutions,TestAutomation
1024,jpmorgan,bank financial service,general other software,bangalore,sql spring security project administration application server application development spring framework sql server api jquery spring data agile environment java javascript,TestAutomation
1032,nasdaq,bank financial service,web mobile technologies,bangalore,sql server javascript jquery html sql software design database design computer science technical support operate systems software solutions client requirements system requirements,TestAutomation
1033,jpmorgan,bank financial service,general other software,bangalore,data model data analysis sql jquery small business agile application development data process sql server java javascript knowledge base quality check data quality global finance risk management,TestAutomation
1043,jpmorgan,bank financial service,site engineer project management,bangalore,project managers solution design creative problem solve automation tool access management project management life cycle ms office java project plan problem solve project life cycle,TestAutomation
1057,jpmorgan,bank financial service,general other software,bangalore,small business investment bank analytical skills jquery big data commercial bank machine learn access management java sql career development sql server javascript financial service,TestAutomation
1064,standard chartered bank ltd,bank financial service,general other software,bangalore,manual test shell script web service spring security open source core java jira spring boot test harness version control spring framework java frameworks secure cod java,TestAutomation
1065,dbs asia hub 2,bank financial service,general other software,bangalore  chennai  hyderabad  kolkata  pune  mumbai city  delhi,javascript css jquery html mysql spring boot user experience sprint plan cod standards quality standards software development git java cloud agile,TestAutomation
1077,morgan stanley advantage services pvt  ltd ,bank financial service,site engineer project management,bangalore,object orient design root cause web service shell script design pattern computer science agile development knowledge share project management software engineer,TestAutomation
1089,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery project life cycle big data core java spring boot web service data quality sales process project plan spring framework project managers java performance,TestAutomation
1106,visas avenue pvt ltd,bank financial service,general other software,bangalore,java verification environment linux test case software development life cycle data flow file systems secure cod security tool version control high throughput computer science automation tool component design development work security analysis high availability financial service digital conversion,TestAutomation
1121,morgan stanley advantage services pvt  ltd ,bank financial service,test,bangalore,automation selenium java testng framework test drive development business process management business intelligence report core java open source test design,TestAutomation
1122,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,java spring j2ee hibernate eclipse fix income techno functional investment bank financial service communication skills verbal communication technology solutions technology platforms project administration sql,TestAutomation
1123,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle test drive development people management skills software development tool process improvement initiatives spring mvc front office test tool,TestAutomation
1130,jpmorgan,bank financial service,web mobile technologies,bangalore,java sql server jquery write skills technical write financial service affirmative action career development machine learn sql manage service behavioral train big data javascript electronic payments,TestAutomation
1138,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,jquery css javascript html bootstrap web application design core bank music make problem solve web application wealth management investment bank financial service release management performance tune application design,TestAutomation
1140,jpmorgan,bank financial service,embed system software,bangalore,edge affirmative action java sql azure bash write skills cloud glue javascript jquery docker manage service technical write behavioral train linux go sql server project administration python,TestAutomation
1147,standard chartered bank ltd,bank financial service,general other software,bangalore,sql server apache camel system test computer science continuous build technology solutions global bank it go sql api uat ide sit java j2ee jira paas turn agile,TestAutomation
1149,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,sql sql server mysql database administration customer relations end to end delivery unix script shell script problem solve human resources computer science wealth management talent management,TestAutomation
1151,jpmorgan,bank financial service,general other software,bangalore,software development life cycle technology trend software development software engineer java oops cloud software engineer requirements gather business requirements waterfall project management creative solutions,TestAutomation
1154,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery open source spring data spring security spring framework agile environment application server affirmative action project administration intellectually curious,TestAutomation
1169,ernst   young,bank financial service,general other software,kochi,selenium test case java test third party vendors it service test tool software development life cycle use case load runner report tool test analysis automation life cycle framework,TestAutomation
1172,ernst   young,bank financial service,quality qa qc,kochi,tax financial report customer relations tax plan tax return software development life cycle data drive test test data life cycle team spirit test execution defect track browser test test automation,TestAutomation
1176,ernst   young,bank financial service,test,kochi,test analysis report tool test automation java regression test test tool report life cycle test case it service automation software development life cycle third party vendors use case load runner,TestAutomation
1192,global invisions consulting,bank financial service,general other software,kochi,java sql javascript sql server jquery product design mobile devices computer science network service software development restful apis ui qt gi c qml sdk json fit,TestAutomation
1202,global invisions consulting,bank financial service,general other software,kochi,java sql javascript sql server jquery product design mobile devices computer science software development communication skills restful apis ui qt gi c qml sdk json fit netw k service,TestAutomation
1207,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore,baggage handle systems environmental impact assessment sql java spring mvc test case qa test microsoft sql server sun identity manager sql server customer relations software design pattern,TestAutomation
1211,first american  india ,bank financial service,quality qa qc,bangalore,test case regression test automation report environment software development life cycle software development methodologies test data back office fortune 500 load test product flow qa automation,TestAutomation
1215,jpmorgan,bank financial service,general other software,bangalore,java academics acp algorithms android life cycle think big service level mission critical change management release management software development software engineer set 24x7,TestAutomation
1217,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore  japan,api test baggage handle systems environmental impact assessment life cycle soap ui test case qa test front end sun identity manager music make software development life cycle,TestAutomation
1218,jpmorgan,bank financial service,sales bd,bangalore  chennai  hyderabad  pune  mumbai city  delhi,java sql javascript sql server jquery high performance compute strong communication skills agile application development global finance small business risk management,TestAutomation
1220,nasdaq,bank financial service,embed system software,bangalore,sql server java sql customer relations javascript detail design web application technical design database query business solutions software development technology solutions information management,TestAutomation
1225,standard chartered bank ltd,bank financial service,general other software,bangalore,design pattern web experience front end java web standards product plan application development web application report project management equipment supply delivery statements of work sow,TestAutomation
1227,standard chartered bank ltd,bank financial service,general other software,bangalore,front office web service solution design design pattern computer science batch process systems think application design overcome obstacles software engineer agile methodologies mq,TestAutomation
1229,fidelity investments,bank financial service,general other software,bangalore,java sql javascript sql server jquery big data data model data structure enterprise data data warehouse data engineer product offer stream process work experience data transformation,TestAutomation
1231,jpmorgan,bank financial service,general other software,bangalore,financial service fortune 500 jquery java software development life cycle sql big data open source machine learn business analysis sql server message queue music make javascript,TestAutomation
1232,statestreet global advisor pvt ltd,bank financial service,general other software,bangalore,java environment sql server sql customer relations code of conduct subject matter expertise information security standards low latency build tool front office music make bash script systems design risk management high throughput technical support senior management agile environment electronic trade,TestAutomation
1237,jpmorgan,bank financial service,embed system software,bangalore,java sql javascript sql server jquery liquidity risk corporate risk risk management data management problem solve data enrichment user interaction financial service,TestAutomation
1245,jpmorgan,bank financial service,dba datawarehousing,bangalore,service work data management jquery java cloud storage service level data structure sql apache spark javascript agile data analytics big data hbase sql server spark scalapython application developmentspark,TestAutomation
1249,fidelity investments,bank financial service,general other software,bangalore,java sql javascript sql server jquery responsive web design ms sql front end open source code review spring batch web service sql database cloud test qa automation,TestAutomation
1252,jpmorgan,bank financial service,general other software,bangalore,java sql javascript sql server jquery software development life cycle core java oracle 9i web server build tool unit test detail design quality tool problem solve computer science project plan,TestAutomation
1257,morgan stanley advantage services pvt  ltd ,bank financial service,general other software,bangalore  japan,software development life cycle business continuity plan software development methodologies front end life cycle web service sql database data analysis due diligence middle office,TestAutomation
1258,goldman sachs,bank financial service,general other software,bangalore,java sql javascript sql server jquery unix shell script object orient program big data full sdlc low latency web service risk management shell script data process,TestAutomation
1274,jpmorgan,bank financial service,test,bangalore,software qa test script security test business bank test tool commercial bank technical design small business quality assurance software quality requirement analysis investment bank regression test,TestAutomation
1280,goldman sachs,bank financial service,general other software,bangalore,java sql javascript sql server jquery strong interpersonal skills big data core java low latency web service risk management problem solve unit operations,TestAutomation
1283,goldman sachs,bank financial service,general other software,bangalore,sql unix linux sql server troubleshoot data structure computer science machine learn global investment investment bank financial service,TestAutomation
1287,goldman sachs,bank financial service,general other software,bangalore,java sql javascript sql server jquery web service new business cyber security search engines business ideas network devices security policy,TestAutomation
1290,ig infotech,bank financial service,web mobile technologies,bangalore,java jquery sql server sql environment front end build tool user interaction memory management technical leadership information architecture front end,TestAutomation
